station_id,station_name,arrond_name,arrond_abbrev,arrond_area
6194,Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,VM,21500631.743203
6195,de Bullion / St-Joseph,Le Plateau-Mont-Royal,PM,8151665.08032495
6196,Villeneuve / St-Laurent,Le Plateau-Mont-Royal,PM,8151665.08032495
6197,de Bordeaux / Masson,Le Plateau-Mont-Royal,PM,8151665.08032495
6198,Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,PM,8151665.08032495
6199,St-Viateur / St-Laurent,Le Plateau-Mont-Royal,PM,8151665.08032495
6200,Maguire / St-Laurent,Le Plateau-Mont-Royal,PM,8151665.08032495
6201,Villeneuve / de l'Hôtel-de-Ville,Le Plateau-Mont-Royal,PM,8151665.08032495
6202,Ste-Famille / Sherbrooke,Le Plateau-Mont-Royal,PM,8151665.08032495
6203,Aylmer / Sherbrooke,Le Plateau-Mont-Royal,PM,8151665.08032495
6204,Milton / Durocher,Le Plateau-Mont-Royal,PM,8151665.08032495
6205,Milton / du Parc,Le Plateau-Mont-Royal,PM,8151665.08032495
6206,Prince-Arthur / du Parc,Le Plateau-Mont-Royal,PM,8151665.08032495
6207,Ste-Famille / des Pins,Le Plateau-Mont-Royal,PM,8151665.08032495
6208,Hutchison / des Pins,Le Plateau-Mont-Royal,PM,8151665.08032495
6209,Milton / Clark,Le Plateau-Mont-Royal,PM,8151665.08032495
6210,Métro Sauvé (Berri / Sauvé),Ahuntsic-Cartierville,AC,25571187.4830152
6211,Roy / St-Laurent,Le Plateau-Mont-Royal,PM,8151665.08032495
6212,Duluth / de l'Esplanade,Le Plateau-Mont-Royal,PM,8151665.08032495
6213,Duluth / St-Laurent,Le Plateau-Mont-Royal,PM,8151665.08032495
6214,Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,PM,8151665.08032495
6215,Metcalfe / St-Catherine,Ville-Marie,VM,21500631.743203
6216,Parc Jeanne Mance (monument sir George-Etienne Cartier),Le Plateau-Mont-Royal,PM,8151665.08032495
6217,Vallières / St-Laurent,Le Plateau-Mont-Royal,PM,8151665.08032495
6218,Prince-Arthur / St-Urbain,Le Plateau-Mont-Royal,PM,8151665.08032495
6219,de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,PM,8151665.08032495
6220,Laval / Duluth,Le Plateau-Mont-Royal,PM,8151665.08032495
6221,du Mont-Royal / Clark,Le Plateau-Mont-Royal,PM,8151665.08032495
6222,de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,PM,8151665.08032495
6223,du Mont-Royal / du Parc,Le Plateau-Mont-Royal,PM,8151665.08032495
6224,Villeneuve / du Parc,Le Plateau-Mont-Royal,PM,8151665.08032495
6225,Villeneuve / St-Urbain,Le Plateau-Mont-Royal,PM,8151665.08032495
6226,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),Rosemont-La Petite-Patrie,RO,15886530.2734387
6227,de l'Esplanade / Laurier,Le Plateau-Mont-Royal,PM,8151665.08032495
6228,Waverly / Van Horne,Le Plateau-Mont-Royal,PM,8151665.08032495
6229,Coloniale / du Mont-Royal,Le Plateau-Mont-Royal,PM,8151665.08032495
6230,Waverly / St-Viateur,Le Plateau-Mont-Royal,PM,8151665.08032495
6231,Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,PM,8151665.08032495
6232,Durocher / Van Horne,Outremont,OM,3813355.72326504
6233,Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,PM,8151665.08032495
6234,de l'Arcade / Clark,Le Plateau-Mont-Royal,PM,8151665.08032495
6235,St-Dominique / St-Viateur,Le Plateau-Mont-Royal,PM,8151665.08032495
6236,Laurier / de Bordeaux,Le Plateau-Mont-Royal,PM,8151665.08032495
6237,Gilford / de Lanaudière,Le Plateau-Mont-Royal,PM,8151665.08032495
6240,Parc Kent (de Kent / Hudson),Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6241,Querbes / Laurier,Outremont,OM,3813355.72326504
6243,Bloomfield / Bernard,Outremont,OM,3813355.72326504
6245,Bloomfield / Van Horne,Outremont,OM,3813355.72326504
6246,Métro Outremont (Wiseman / Van Horne),Outremont,OM,3813355.72326504
6247,St-Dominique / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6248,St-Dominique / Rachel,Le Plateau-Mont-Royal,PM,8151665.08032495
6249,Bélanger / St-Denis,Rosemont-La Petite-Patrie,RO,15886530.2734387
6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont-La Petite-Patrie,RO,15886530.2734387
6251,Dante / de Gaspé,Rosemont-La Petite-Patrie,RO,15886530.2734387
6252,Mozart / St-Laurent,Rosemont-La Petite-Patrie,RO,15886530.2734387
6253,Métro Jean-Talon (de Chateaubriand / Jean-Talon),Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6254,Boyer / Bélanger,Rosemont-La Petite-Patrie,RO,15886530.2734387
6255,Boyer / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6257,de St-Vallier / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6258,Parc Père-Marquette (Chambord / Rosemont),Rosemont-La Petite-Patrie,RO,15886530.2734387
6259,Dandurand / de Lorimier,Rosemont-La Petite-Patrie,RO,15886530.2734387
6260,Cartier / Dandurand,Rosemont-La Petite-Patrie,RO,15886530.2734387
6261,Louis-Hémon / Rosemont,Rosemont-La Petite-Patrie,RO,15886530.2734387
6262,de la Roche /  de Bellechasse,Rosemont-La Petite-Patrie,RO,15886530.2734387
6263,de Hampton / de Monkland,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6264,Chabot / de Bellechasse,Rosemont-La Petite-Patrie,RO,15886530.2734387
6265,Parthenais / Laurier,Le Plateau-Mont-Royal,PM,8151665.08032495
6266,Louis-Hébert / de Bellechasse,Rosemont-La Petite-Patrie,RO,15886530.2734387
6267,Chabot / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6268,Chambord / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6269,Wurtele / de Rouen,Ville-Marie,VM,21500631.743203
