station_id,station_name,arrond_name,arrond_abbrev,arrond_area
6743,St-Marc / Sherbrooke,Ville-Marie,VM,21500631.743203
6744,Hamilton / Jolicoeur,Le Sud-Ouest,SO,18144269.4942672
6745,de l'Épée / Jean-Talon,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6746,Métro Acadie (de l'Acadie / Beaumont),Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6747,Waverly / St-Zotique,Rosemont-La Petite-Patrie,RO,15886530.2734387
6748,Young / Wellington,Le Sud-Ouest,SO,18144269.4942672
6749,St-Jacques / St-Laurent,Ville-Marie,VM,21500631.743203
6750,de Mentana / Gilford,Le Plateau-Mont-Royal,PM,8151665.08032495
6752,Hutchison / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6753,Centre ÉPIC (St-Zotique / 40e avenue),Rosemont-La Petite-Patrie,RO,15886530.2734387
6754,Eadie / Dubois,Le Sud-Ouest,SO,18144269.4942672
6901,Gare d'autocars de Montréal (Berri / Ontario),Ville-Marie,VM,21500631.743203
6902,Montcalm / Ontario,Ville-Marie,VM,21500631.743203
6903,St-Dominique / Napoléon,Le Plateau-Mont-Royal,PM,8151665.08032495
6904,Fabre / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6905,Parc Rosemont (Dandurand / d'Iberville),Rosemont-La Petite-Patrie,RO,15886530.2734387
6906,Métro Rosemont (de St-Vallier / Rosemont),Rosemont-La Petite-Patrie,RO,15886530.2734387
6907,Boyer / Rosemont,Rosemont-La Petite-Patrie,RO,15886530.2734387
6908,de Bellechasse / de St-Vallier,Rosemont-La Petite-Patrie,RO,15886530.2734387
6910,Boyer / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6912,Métro Beaubien (de Chateaubriand / Beaubien),Rosemont-La Petite-Patrie,RO,15886530.2734387
6913,Drolet / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6915,Alma / Beaubien,Rosemont-La Petite-Patrie,RO,15886530.2734387
6916,Parc du Pélican (2e avenue / St-Joseph),Rosemont-La Petite-Patrie,RO,15886530.2734387
6917,Basile-Routhier / Chabanel,Ahuntsic-Cartierville,AC,25571187.4830152
6918,Garnier / des Carrières,Rosemont-La Petite-Patrie,RO,15886530.2734387
6919,Bibliothèque de Rosemont (9e avenue / Rosemont),Rosemont-La Petite-Patrie,RO,15886530.2734387
6921,Augustin-Cantin / Shearer,Le Sud-Ouest,SO,18144269.4942672
6923,Marquette / Jean-Talon,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6924,de Bordeaux / Jean-Talon,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6925,des Écores / Jean-Talon,Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6926,Marie-Anne / St-Hubert,Le Plateau-Mont-Royal,PM,8151665.08032495
